date,phase_angle,sym_offset_from_full,hexagram,tiangan,visibility,is_pivot,cycle_half
0720-01-01,142.14,-37.86,,,evening,False,upper
0720-01-02,154.33,-25.67,,,evening,False,upper
0720-01-03,166.52,-13.48,乾,甲,evening,True,upper
0720-01-04,178.71,-1.29,乾,甲,both,True,upper
0720-01-05,190.9,10.9,乾,甲,morning,True,lower
0720-01-06,203.09,23.09,,,morning,False,lower
0720-01-07,215.28,35.28,巽,辛,morning,False,lower
0720-01-08,227.47,47.47,巽,辛,morning,False,lower
0720-01-09,239.66,59.66,巽,辛,morning,False,lower
0720-01-10,251.85,71.85,,,morning,False,lower
0720-01-11,264.04,84.04,艮,丙,morning,False,lower
0720-01-12,276.24,96.24,艮,丙,morning,False,lower
0720-01-13,288.43,108.43,,,morning,False,lower
0720-01-14,300.62,120.62,,,morning,False,lower
0720-01-15,312.81,132.81,,,morning,False,lower
0720-01-16,325.0,145.0,坤,乙,morning,False,lower
0720-01-17,337.19,157.19,坤,乙,morning,False,lower
0720-01-18,349.38,169.38,,,morning,True,lower
0720-01-19,1.57,-178.43,,,none,True,upper
0720-01-20,13.76,-166.24,,,evening,True,upper
0720-01-21,25.95,-154.05,震,庚,evening,False,upper
0720-01-22,38.14,-141.86,震,庚,evening,False,upper
0720-01-23,50.33,-129.67,,,evening,False,upper
0720-01-24,62.52,-117.48,,,evening,False,upper
0720-01-25,74.72,-105.28,,,evening,False,upper
0720-01-26,86.91,-93.09,兑,丁,evening,False,upper
0720-01-27,99.1,-80.9,兑,丁,evening,False,upper
0720-01-28,111.29,-68.71,,,evening,False,upper
0720-01-29,123.48,-56.52,,,evening,False,upper
0720-01-30,135.67,-44.33,,,evening,False,upper
0720-01-31,147.86,-32.14,,,evening,False,upper
0720-02-01,160.05,-19.95,,,evening,False,upper
0720-02-02,172.24,-7.76,乾,甲,both,True,upper
0720-02-03,184.43,4.43,乾,甲,both,True,lower
0720-02-04,196.62,16.62,,,morning,False,lower
0720-02-05,208.81,28.81,,,morning,False,lower
0720-02-06,221.0,41.0,巽,辛,morning,False,lower
0720-02-07,233.19,53.19,巽,辛,morning,False,lower
