date,phase_angle,sym_offset_from_full,hexagram,tiangan,visibility,is_pivot,cycle_half
0727-01-01,353.89,173.89,,,none,True,lower
0727-01-02,6.08,-173.92,,,none,True,upper
0727-01-03,18.27,-161.73,震,庚,evening,False,upper
0727-01-04,30.46,-149.54,震,庚,evening,False,upper
0727-01-05,42.65,-137.35,震,庚,evening,False,upper
0727-01-06,54.84,-125.16,,,evening,False,upper
0727-01-07,67.03,-112.97,,,evening,False,upper
0727-01-08,79.22,-100.78,兑,丁,evening,False,upper
0727-01-09,91.41,-88.59,兑,丁,evening,False,upper
0727-01-10,103.6,-76.4,兑,丁,evening,False,upper
0727-01-11,115.79,-64.21,,,evening,False,upper
0727-01-12,127.98,-52.02,,,evening,False,upper
0727-01-13,140.17,-39.83,,,evening,False,upper
0727-01-14,152.37,-27.63,,,evening,False,upper
0727-01-15,164.56,-15.44,,,evening,False,upper
0727-01-16,176.75,-3.25,乾,甲,both,True,upper
0727-01-17,188.94,8.94,乾,甲,both,True,lower
0727-01-18,201.13,21.13,,,morning,False,lower
0727-01-19,213.32,33.32,,,morning,False,lower
0727-01-20,225.51,45.51,巽,辛,morning,False,lower
0727-01-21,237.7,57.7,巽,辛,morning,False,lower
0727-01-22,249.89,69.89,,,morning,False,lower
0727-01-23,262.08,82.08,艮,丙,morning,False,lower
0727-01-24,274.27,94.27,艮,丙,morning,False,lower
0727-01-25,286.46,106.46,,,morning,False,lower
0727-01-26,298.65,118.65,,,morning,False,lower
0727-01-27,310.85,130.85,,,morning,False,lower
0727-01-28,323.04,143.04,坤,乙,morning,False,lower
0727-01-29,335.23,155.23,坤,乙,morning,False,lower
0727-01-30,347.42,167.42,,,morning,True,lower
0727-01-31,359.61,179.61,,,none,True,lower
0727-02-01,11.8,-168.2,,,evening,True,upper
0727-02-02,23.99,-156.01,震,庚,evening,False,upper
0727-02-03,36.18,-143.82,震,庚,evening,False,upper
0727-02-04,48.37,-131.63,,,evening,False,upper
0727-02-05,60.56,-119.44,,,evening,False,upper
0727-02-06,72.75,-107.25,,,evening,False,upper
0727-02-07,84.94,-95.06,兑,丁,evening,False,upper
0727-02-08,97.13,-82.87,兑,丁,evening,False,upper
0727-02-09,109.33,-70.67,,,evening,False,upper
0727-02-10,121.52,-58.48,,,evening,False,upper
0727-02-11,133.71,-46.29,,,evening,False,upper
0727-02-12,145.9,-34.1,,,evening,False,upper
0727-02-13,158.09,-21.91,,,evening,False,upper
0727-02-14,170.28,-9.72,乾,甲,both,True,upper
0727-02-15,182.47,2.47,乾,甲,both,True,lower
0727-02-16,194.66,14.66,乾,甲,morning,True,lower
0727-02-17,206.85,26.85,,,morning,False,lower
0727-02-18,219.04,39.04,巽,辛,morning,False,lower
0727-02-19,231.23,51.23,巽,辛,morning,False,lower
0727-02-20,243.42,63.42,巽,辛,morning,False,lower
0727-02-21,255.61,75.61,艮,丙,morning,False,lower
0727-02-22,267.8,87.8,艮,丙,morning,False,lower
0727-02-23,280.0,100.0,艮,丙,morning,False,lower
0727-02-24,292.19,112.19,,,morning,False,lower
0727-02-25,304.38,124.38,,,morning,False,lower
0727-02-26,316.57,136.57,坤,乙,morning,False,lower
0727-02-27,328.76,148.76,坤,乙,morning,False,lower
0727-02-28,340.95,160.95,坤,乙,morning,False,lower
0727-03-01,353.14,173.14,,,none,True,lower
0727-03-02,5.33,-174.67,,,none,True,upper
0727-03-03,17.52,-162.48,震,庚,evening,False,upper
0727-03-04,29.71,-150.29,震,庚,evening,False,upper
0727-03-05,41.9,-138.1,震,庚,evening,False,upper
0727-03-06,54.09,-125.91,,,evening,False,upper
0727-03-07,66.28,-113.72,,,evening,False,upper
0727-03-08,78.48,-101.52,兑,丁,evening,False,upper
0727-03-09,90.67,-89.33,兑,丁,evening,False,upper
0727-03-10,102.86,-77.14,兑,丁,evening,False,upper
0727-03-11,115.05,-64.95,,,evening,False,upper
0727-03-12,127.24,-52.76,,,evening,False,upper
0727-03-13,139.43,-40.57,,,evening,False,upper
0727-03-14,151.62,-28.38,,,evening,False,upper
0727-03-15,163.81,-16.19,,,evening,False,upper
0727-03-16,176.0,-4.0,乾,甲,both,True,upper
0727-03-17,188.19,8.19,乾,甲,both,True,lower
0727-03-18,200.38,20.38,,,morning,False,lower
0727-03-19,212.57,32.57,,,morning,False,lower
0727-03-20,224.76,44.76,巽,辛,morning,False,lower
0727-03-21,236.96,56.96,巽,辛,morning,False,lower
0727-03-22,249.15,69.15,,,morning,False,lower
0727-03-23,261.34,81.34,艮,丙,morning,False,lower
0727-03-24,273.53,93.53,艮,丙,morning,False,lower
0727-03-25,285.72,105.72,,,morning,False,lower
0727-03-26,297.91,117.91,,,morning,False,lower
0727-03-27,310.1,130.1,,,morning,False,lower
0727-03-28,322.29,142.29,坤,乙,morning,False,lower
0727-03-29,334.48,154.48,坤,乙,morning,False,lower
0727-03-30,346.67,166.67,,,morning,True,lower
0727-03-31,358.86,178.86,,,none,True,lower
0727-04-01,11.05,-168.95,,,evening,True,upper
0727-04-02,23.24,-156.76,震,庚,evening,False,upper
0727-04-03,35.43,-144.57,震,庚,evening,False,upper
0727-04-04,47.63,-132.37,,,evening,False,upper
0727-04-05,59.82,-120.18,,,evening,False,upper
0727-04-06,72.01,-107.99,,,evening,False,upper
0727-04-07,84.2,-95.8,兑,丁,evening,False,upper
0727-04-08,96.39,-83.61,兑,丁,evening,False,upper
0727-04-09,108.58,-71.42,,,evening,False,upper
0727-04-10,120.77,-59.23,,,evening,False,upper
0727-04-11,132.96,-47.04,,,evening,False,upper
0727-04-12,145.15,-34.85,,,evening,False,upper
0727-04-13,157.34,-22.66,,,evening,False,upper
0727-04-14,169.53,-10.47,乾,甲,evening,True,upper
0727-04-15,181.72,1.72,乾,甲,both,True,lower
0727-04-16,193.91,13.91,乾,甲,morning,True,lower
0727-04-17,206.11,26.11,,,morning,False,lower
0727-04-18,218.3,38.3,巽,辛,morning,False,lower
0727-04-19,230.49,50.49,巽,辛,morning,False,lower
0727-04-20,242.68,62.68,巽,辛,morning,False,lower
0727-04-21,254.87,74.87,,,morning,False,lower
0727-04-22,267.06,87.06,艮,丙,morning,False,lower
0727-04-23,279.25,99.25,艮,丙,morning,False,lower
0727-04-24,291.44,111.44,,,morning,False,lower
0727-04-25,303.63,123.63,,,morning,False,lower
0727-04-26,315.82,135.82,坤,乙,morning,False,lower
0727-04-27,328.01,148.01,坤,乙,morning,False,lower
0727-04-28,340.2,160.2,坤,乙,morning,False,lower
0727-04-29,352.39,172.39,,,none,True,lower
0727-04-30,4.59,-175.41,,,none,True,upper
0727-05-01,16.78,-163.22,震,庚,evening,False,upper
0727-05-02,28.97,-151.03,震,庚,evening,False,upper
0727-05-03,41.16,-138.84,震,庚,evening,False,upper
0727-05-04,53.35,-126.65,,,evening,False,upper
0727-05-05,65.54,-114.46,,,evening,False,upper
0727-05-06,77.73,-102.27,兑,丁,evening,False,upper
0727-05-07,89.92,-90.08,兑,丁,evening,False,upper
0727-05-08,102.11,-77.89,兑,丁,evening,False,upper
0727-05-09,114.3,-65.7,,,evening,False,upper
0727-05-10,126.49,-53.51,,,evening,False,upper
0727-05-11,138.68,-41.32,,,evening,False,upper
0727-05-12,150.87,-29.13,,,evening,False,upper
0727-05-13,163.06,-16.94,,,evening,False,upper
0727-05-14,175.26,-4.74,乾,甲,both,True,upper
0727-05-15,187.45,7.45,乾,甲,both,True,lower
0727-05-16,199.64,19.64,,,morning,False,lower
0727-05-17,211.83,31.83,,,morning,False,lower
0727-05-18,224.02,44.02,巽,辛,morning,False,lower
0727-05-19,236.21,56.21,巽,辛,morning,False,lower
0727-05-20,248.4,68.4,,,morning,False,lower
0727-05-21,260.59,80.59,艮,丙,morning,False,lower
0727-05-22,272.78,92.78,艮,丙,morning,False,lower
0727-05-23,284.97,104.97,艮,丙,morning,False,lower
0727-05-24,297.16,117.16,,,morning,False,lower
0727-05-25,309.35,129.35,,,morning,False,lower
0727-05-26,321.54,141.54,坤,乙,morning,False,lower
0727-05-27,333.74,153.74,坤,乙,morning,False,lower
0727-05-28,345.93,165.93,,,morning,True,lower
0727-05-29,358.12,178.12,,,none,True,lower
0727-05-30,10.31,-169.69,,,evening,True,upper
0727-05-31,22.5,-157.5,震,庚,evening,False,upper
0727-06-01,34.69,-145.31,震,庚,evening,False,upper
0727-06-02,46.88,-133.12,,,evening,False,upper
0727-06-03,59.07,-120.93,,,evening,False,upper
0727-06-04,71.26,-108.74,,,evening,False,upper
0727-06-05,83.45,-96.55,兑,丁,evening,False,upper
0727-06-06,95.64,-84.36,兑,丁,evening,False,upper
0727-06-07,107.83,-72.17,,,evening,False,upper
