HIP,RA,Dec,Vmag,pmRA,pmDE,Plx,RV
3,0.00502431,38.85927901,6.61,4.28,-3.42,2.26,0.00
19,0.05330922,38.30404973,6.53,-3.17,-15.37,4.01,6.30
25,0.07956353,-44.29056147,6.28,61.70,-107.10,12.29,3.00
34,0.09958476,26.91810825,6.43,43.60,-51.50,13.40,-18.00
43,0.12870233,59.55967936,6.18,-80.74,-23.69,7.34,-33.30
50,0.14308505,-53.09771264,6.49,60.10,-28.30,16.83,-16.40
63,0.18180951,45.25333358,6.36,17.42,0.03,5.32,-1.00
73,0.22032873,66.84801108,6.90,-20.82,17.86,3.57,-11.91
88,0.26909344,-48.80987560,5.71,-18.18,-5.91,5.50,8.00
106,0.33021487,49.98155781,6.22,13.46,-11.70,5.01,-19.80
107,0.33383021,-50.33737333,5.53,7.96,11.29,6.01,2.30
119,0.39016602,44.67540116,6.82,-10.42,-18.01,6.43,0.53
121,0.39642463,28.42369128,6.83,-18.68,-34.02,4.42,-15.96
122,0.39876554,-77.06572447,4.78,-57.31,-177.05,15.02,22.60
124,0.40423123,61.22280080,5.58,-3.02,-0.73,1.06,-25.10
128,0.41441548,73.61184660,6.50,75.57,-13.02,14.13,-8.02
133,0.42347606,-40.14870204,6.62,33.48,-16.18,4.79,-8.40
136,0.42869158,24.25311272,6.60,18.05,-28.33,5.54,-7.69
137,0.43270606,42.36714391,6.25,5.44,-1.98,2.67,-9.60
145,0.45603512,-3.02750382,5.13,19.10,-9.67,7.18,23.00
154,0.49007900,-6.01407212,4.37,46.20,-41.10,7.55,-11.70
159,0.51090686,-2.76617076,6.93,39.62,-2.82,16.01,2.80
171,0.54231321,27.08225603,5.80,829.90,-989.40,82.17,-36.22
179,0.56951496,-13.40743745,6.90,259.40,33.90,15.32,-21.50
181,0.57377241,60.70316774,6.77,-9.20,-10.94,2.75,-21.39
183,0.58300278,-29.72041402,5.04,12.60,14.60,6.49,8.60
186,0.60069578,8.95682361,6.33,-0.96,-3.69,8.14,9.20
194,0.62375948,8.48546309,5.70,-94.16,-47.43,27.10,9.20
207,0.65036241,66.09896618,5.87,7.40,1.50,0.73,-16.90
238,0.73953381,-20.04588213,6.25,101.22,78.09,16.35,-4.20
253,0.78273045,-24.14514551,6.46,55.11,-1.76,4.91,25.20
254,0.78477808,42.74790772,6.73,33.39,-4.32,6.16,-9.10
258,0.80547707,17.55226848,6.59,58.77,-52.98,5.83,-18.50
274,0.85713616,63.64051986,6.24,-3.90,0.20,1.31,-41.30
277,0.85949749,-36.25119274,6.96,72.29,5.84,15.24,12.00
297,0.92435158,48.43690676,6.80,-24.87,-9.17,7.25,-11.80
301,0.93495762,-17.33598771,4.55,25.17,-9.16,11.98,8.00
302,0.96516239,66.71218292,6.31,9.41,-8.20,3.76,15.10
330,1.05692695,62.28766370,5.90,-1.31,0.11,0.84,-16.90
